2017.06.10.b,2017,6,10,AUS,Board_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,F,N
2017.06.10.a,2017,6,10,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.07.R,2017,6,7,OTH,Board_Activity,Starry_Smoothhound,Unprovoked,I,M,N
2017.06.04,2017,6,4,USA,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.06.02,2017,6,2,BHS,Snorkeling_Activity,Tiger,Unprovoked,I,F,N
2017.05.30,2017,5,30,USA,Shark_Handling_Activity,Unknown,Provoked,I,F,N
2017.05.28,2017,5,28,USA,Feeding_Activity,Tiger,Unprovoked,I,M,N
2017.05.12,2017,5,12,OTH,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.05.06.R,2017,5,6,AUS,Shark_Hunting_Activity,Unknown,Provoked,I,M,N
2017.05.06,2017,5,6,MEX,Snorkeling_Activity,Unknown,Unprovoked,I,M,Y
2017.04.29.d,2017,4,29,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.04.29.c,2017,4,29,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2017.04.29.b,2017,4,29,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.04.29.a,2017,4,29,REU,Board_Activity,Unknown,Unprovoked,I,M,Y
2017.04.27,2017,4,27,NZL,Board_Activity,Unknown,Unprovoked,I,F,N
2017.04.22,2017,4,22,OTH,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2017.04.17.b,2017,4,17,USA,Unknown_Activity,Unknown,Unprovoked,U,U,N
2017.04.17.a,2017,4,17,AUS,Board_Activity,Great_White,Unprovoked,I,F,Y
2017.04.14,2017,4,14,USA,Board_Activity,Tiger,Unprovoked,I,U,N
2017.04.13,2017,4,13,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.04.12.b,2017,4,12,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.04.11,2017,4,11,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.04.10.b,2017,4,10,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.04.10.a,2017,4,10,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.04.06,2017,4,6,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.04.05,2017,4,5,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.04.02.b,2017,4,2,AUS,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,N
2017.04.02.a,2017,4,2,USA,Swimming_Activity,Bull,Unprovoked,I,F,N
2017.03.27,2017,3,27,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.03.19,2017,3,19,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.03.18,2017,3,18,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.03.11,2017,3,11,PHL,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.03.09,2017,3,9,BHS,Wading_Activity,Lemon,Unprovoked,I,M,N
2017.03.01,2017,3,1,BHS,Swimming_Activity,Nurse,Unprovoked,I,U,N
2017.02.25,2017,2,25,AUS,Snorkeling_Activity,Bull,Unprovoked,I,F,N
2017.02.24,2017,2,24,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.02.21,2017,2,21,REU,Board_Activity,Unknown,Unprovoked,I,M,Y
2017.02.17,2017,2,17,AUS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.02.11,2017,2,11,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.02.06.b,2017,2,6,OTH,Shark_Handling_Activity,Lemon,Provoked,I,F,N
2017.02.06.a,2017,2,6,ZAF,Paddle_Boat_Activity,Tiger,Boating,I,M,N
2017.02.01.b,2017,2,1,USA,Shark_Handling_Activity,Great_White,Boating,I,M,N
2017.02.01.a,2017,2,1,BHS,Scuba_Diving_Activity,Caribbean_Reef,Unprovoked,I,M,N
2017.01.24,2017,1,24,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.01.22,2017,1,22,USA,Unknown_Activity,Unknown,Unprovoked,I,M,N
2017.01.21,2017,1,21,AUS,Scuba_Diving_Activity,Bull,Unprovoked,I,M,N
2017.01.13.b,2017,1,13,AUS,Swimming_Activity,Unknown,Unprovoked,U,U,N
